state_abb,state,Dem,R_vote_for_debate,R_vote_against_debate,R_vote_for_repeal_replace,R_vote_against_repeal_replace,R_vote_for_partial_repeal,R_vote_against_partial_repeal,R_vote_for_skinny_repeal,R_vote_against_skinny_repeal
Ala.,Alabama,0,2,0,2,0,2,0,2,0
Alaska,Alaska,0,1,1,1,1,1,1,1,1
Ariz.,Arizona,0,2,0,2,0,1,1,1,1
Ark.,Arkansas,0,2,0,1,1,2,0,2,0
Calif.,California,2,0,0,0,0,0,0,0,0
Colo.,Colorado,1,1,0,1,0,1,0,1,0
Conn.,Connecticut,2,0,0,0,0,0,0,0,0
Del.,Delaware,2,0,0,0,0,0,0,0,0
Fla.,Florida,1,1,0,1,0,1,0,1,0
Ga.,Georgia,0,2,0,2,0,2,0,2,0
Hawaii,Hawaii,2,0,0,0,0,0,0,0,0
Idaho,Idaho,0,2,0,2,0,2,0,2,0
Ill.,Illinois,2,0,0,0,0,0,0,0,0
Ind.,Indiana,1,1,0,1,0,1,0,1,0
Iowa,Iowa,0,2,0,2,0,2,0,2,0
Kan.,Kansas,0,2,0,1,1,2,0,2,0
Ky.,Kentucky,0,2,0,1,1,2,0,2,0
La.,Louisiana,0,2,0,2,0,2,0,2,0
Maine,Maine,1,0,1,0,1,0,1,0,1
Md.,Maryland,2,0,0,0,0,0,0,0,0
Mass.,Massachusetts,2,0,0,0,0,0,0,0,0
Mich.,Michigan,2,0,0,0,0,0,0,0,0
Minn.,Minnesota,2,0,0,0,0,0,0,0,0
Miss.,Mississippi,0,2,0,2,0,2,0,2,0
Mo.,Missouri,1,1,0,1,0,1,0,1,0
Mont.,Montana,1,1,0,1,0,1,0,1,0
Neb.,Nebraska,0,2,0,2,0,2,0,2,0
Nev.,Nevada,1,1,0,0,1,0,1,1,0
N.H.,New Hampshire,2,0,0,0,0,0,0,0,0
N.J.,New Jersey,2,0,0,0,0,0,0,0,0
N.M.,New Mexico,2,0,0,0,0,0,0,0,0
N.Y.,New York,2,0,0,0,0,0,0,0,0
N.C.,North Carolina,0,2,0,2,0,2,0,2,0
N.D.,North Dakota,1,1,0,1,0,1,0,1,0
Ohio,Ohio,1,1,0,1,0,0,1,1,0
Okla.,Oklahoma,0,2,0,2,0,2,0,2,0
Ore.,Oregon,2,0,0,0,0,0,0,0,0
Pa.,Pennsylvania,1,1,0,1,0,1,0,1,0
R.I.,Rhode Island,2,0,0,0,0,0,0,0,0
S.C.,South Carolina,0,2,0,1,1,2,0,2,0
S.D.,South Dakota,0,2,0,2,0,2,0,2,0
Tenn.,Tennessee,0,2,0,1,1,1,1,2,0
Texas,Texas,0,2,0,2,0,2,0,2,0
Utah,Utah,0,2,0,1,1,2,0,2,0
Vt.,Vermont,2,0,0,0,0,0,0,0,0
Va.,Virginia,2,0,0,0,0,0,0,0,0
Wash.,Washington,2,0,0,0,0,0,0,0,0
W.Va.,West Virginia,1,1,0,1,0,0,1,1,0
Wis.,Wisconsin,1,1,0,1,0,1,0,1,0
Wyo.,Wyoming,0,2,0,2,0,2,0,2,0
